Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Year,Quarter,Is_month_end,Day_sin,day_cos,Month_sin,Month_cos,Lag_1,Rolling_4,Rolling_12,Fuel_Change,CPI_Change,Unemployment_Rel,Month,Week,Is_Thanksgiving,Is_Christmas,XGB_Pred,Ensemble_Pred
14,2012-09-07,1904512.34,1,75.7,3.911,191.5776756,8.684,2012,3,0,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210294e-16,2077256.24,2145317.32,2031568.9188888888,0.0744505494505494,0.0098576480472225,1.0047437232442438,9,36,0,0,1911989.2,1911989.2
15,2012-09-07,587259.82,1,71.61,4.076,138.4729355,8.193,2012,3,0,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210294e-16,628218.22,721354.2325,706406.0179999999,0.0653423941453212,0.0095231445768038,1.0237666816614186,9,36,0,0,602073.25,602073.25
16,2012-09-07,537138.58,1,60.09,3.596,198.0950484,6.061,2012,3,0,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210294e-16,473766.97,597297.2525,566733.646,0.1588785046728971,0.005969661544793,0.925089288439818,9,36,0,0,571192.3,571192.3
17,2012-09-07,1255633.29,1,61.99,3.689,130.9325484,5.936,2012,3,0,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210294e-16,880165.7,1034676.6425,979796.971,0.1838896020539153,0.0042002194008607,0.8966902823305488,9,36,0,0,1159987.2,1159987.2
18,2012-09-07,1083521.24,1,71.85,3.921,138.4729355,8.535,2012,3,0,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210294e-16,1161615.51,1219967.5575,1169422.1609999998,0.0727770177838578,0.0095231445768038,0.9613760010813368,9,36,0,0,1106781.2,1106781.2
19,2012-09-07,1497073.82,1,72.2,4.076,138.4729355,8.193,2012,3,0,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210294e-16,1499496.67,1594096.3325,1577046.734,0.0653423941453212,0.0095231445768038,1.0237666816614186,9,36,0,0,1524649.9,1524649.9
20,2012-09-07,2080529.06,1,76.36,3.911,215.2189573,7.28,2012,3,0,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210294e-16,2462978.28,2159323.725,2096560.44,0.0744505494505494,0.0098552794734816,0.9848151780581016,9,36,0,0,2072288.5,2072288.5
21,2012-09-07,642827.29,1,88.4,3.73,222.0747635,6.565,2012,3,0,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210294e-16,770652.79,859276.46,826491.309,0.0941625110002934,0.0098672477419516,0.8511272736701543,9,36,0,0,718035.6,718035.6
22,2012-09-07,996628.8,1,73.3,3.921,142.500303,7.753,2012,3,0,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210294e-16,1034448.07,1137398.875,1084874.656,0.0727770177838578,0.0097811824632543,0.9570541544766632,9,36,0,0,1006535.25,1006535.25
23,2012-09-07,1427162.26,1,66.74,3.921,138.4729355,4.156,2012,3,0,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210294e-16,1358444.07,1514038.2025,1462542.294,0.0727770177838578,0.0095231445768038,0.8525652860688863,9,36,0,0,1457480.0,1457480.0
24,2012-09-07,1477134.75,1,72.81,4.076,138.4729355,8.953,2012,3,0,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210294e-16,1403460.87,1501451.1124999998,1475098.251,0.0653423941453212,0.0095231445768038,1.0642749307561543,9,36,0,0,1441862.2,1441862.2
25,2012-09-07,671482.9,1,72.79,3.911,215.2189573,7.28,2012,3,0,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210294e-16,658984.38,782586.0099999999,739676.842,0.0744505494505494,0.0098552794734816,0.9877347226744818,9,36,0,0,653761.8,653761.8
26,2012-09-07,1081874.03,1,61.58,3.921,138.4729355,7.405,2012,3,0,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210294e-16,1081005.64,1104508.535,1072046.849,0.0727770177838578,0.0095231445768038,0.9376622389930735,9,36,0,0,1052519.8,1052519.8
27,2012-09-07,1840955.23,1,76.0,4.076,142.500303,8.239,2012,3,0,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210294e-16,1651605.35,1911891.4725,1892299.278,0.0653423941453212,0.0097811824632543,1.029900747518688,9,36,0,0,1833741.4,1833741.4
28,2012-09-07,1469693.99,1,88.52,4.124,130.9325484,10.926,2012,3,0,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210294e-16,1572966.15,1560608.735,1478244.605,0.108006448146158,0.0042002194008607,0.8202825868256279,9,36,0,0,1438602.2,1438602.2
29,2012-09-07,540811.85,1,73.3,3.921,138.4729355,9.419,2012,3,0,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210294e-16,545840.05,637890.035,606957.889,0.0727770177838578,0.0095231445768038,0.953716548030093,9,36,0,0,573449.7,573449.7
30,2012-09-07,433565.77,1,88.4,3.73,222.0747635,6.565,2012,3,0,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210294e-16,451365.99,428468.285,436859.307,0.0941625110002934,0.0098672477419516,0.8511272736701543,9,36,0,0,400943.78,400943.78
31,2012-09-07,1358111.62,1,88.4,3.73,222.0747635,6.565,2012,3,0,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210294e-16,1527688.58,1543826.45,1500026.03,0.0941625110002934,0.0098672477419516,0.8511272736701543,9,36,0,0,1363698.5,1363698.5
32,2012-09-07,1126685.95,1,72.56,3.596,198.0950484,7.872,2012,3,0,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210294e-16,1129422.86,1260736.28,1203784.083,0.1588785046728971,0.005969661544793,0.9058792391166756,9,36,0,0,1142635.9,1142635.9
33,2012-09-07,286428.78,1,92.02,4.124,130.9325484,7.147,2012,3,0,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210294e-16,282552.58,260084.26,262594.519,0.108006448146158,0.0042002194008607,0.8281288020115176,9,36,0,0,297422.12,297422.12
34,2012-09-07,976415.56,1,78.26,3.709,130.9325484,9.285,2012,3,0,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210294e-16,1047658.09,1083795.4575,1041978.089,0.0873644092641454,0.0042002194008607,0.928221533539938,9,36,0,0,1016601.75,1016601.75
35,2012-09-07,984833.35,1,76.0,3.911,142.500303,8.839,2012,3,0,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210294e-16,849779.14,1118271.36,1074348.457,0.0744505494505494,0.0097811824632543,1.0049457108748792,9,36,0,0,983562.4,983562.4
36,2012-09-07,293728.57,1,84.19,3.697,221.1181142,6.623,2012,3,0,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210294e-16,335741.9,312426.81,367640.63,0.0678798382437897,0.0098788016265629,0.8306056159624767,9,36,0,0,297345.12,297345.12
37,2012-09-07,526838.14,1,84.19,3.73,221.1181142,6.623,2012,3,0,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210294e-16,527041.46,506940.3125,507525.05,0.0941625110002934,0.0098788016265629,0.8306056159624767,9,36,0,0,484943.84,484943.84
38,2012-09-07,490274.82,1,88.52,4.124,130.9325484,10.926,2012,3,0,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210294e-16,469787.38,424111.315,381509.878,0.108006448146158,0.0042002194008607,0.8202825868256279,9,36,0,0,442569.88,442569.88
39,2012-09-07,1609811.75,1,83.71,3.73,221.1181142,6.623,2012,3,0,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210294e-16,1442988.44,1732193.0375,1551127.48,0.0941625110002934,0.0098788016265629,0.8306056159624767,9,36,0,0,1532325.8,1532325.8
40,2012-09-07,1088248.4,1,65.06,3.921,138.4729355,4.156,2012,3,0,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210294e-16,999785.48,1056724.745,1008034.075,0.0727770177838578,0.0095231445768038,0.8525652860688863,9,36,0,0,1043689.94,1043689.94
41,2012-09-07,1392143.82,1,67.41,3.596,198.0950484,6.432,2012,3,0,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210294e-16,1238844.56,1450428.9725,1334947.856,0.1588785046728971,0.005969661544793,0.911396709789863,9,36,0,0,1366205.8,1366205.8
42,2012-09-07,617405.35,1,83.07,4.124,130.9325484,7.17,2012,3,0,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210294e-16,674919.45,581108.8625,567694.158,0.108006448146158,0.0042002194008607,0.8491839780183338,9,36,0,0,599922.5,599922.5
43,2012-09-07,663814.18,1,84.99,3.73,213.7990991,9.285,2012,3,0,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210294e-16,662198.65,625345.975,635946.278,0.0941625110002934,0.0096082670314581,0.928221533539938,9,36,0,0,578299.06,578299.06
44,2012-09-07,338737.33,1,70.65,3.689,130.9325484,5.407,2012,3,0,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210294e-16,325377.97,309290.54,296035.601,0.1838896020539153,0.0042002194008607,0.7920719559357788,9,36,0,0,350869.94,350869.94
45,2012-09-07,766512.66,1,75.7,3.911,191.5776756,8.684,2012,3,0,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210294e-16,803657.12,902561.5875,836293.713,0.0744505494505494,0.0098576480472225,1.0038029845915548,9,36,0,0,760976.2,760976.2
